FFID, OFFSET, CHANNEL, TIME
1320, -419, 329, 2265
1321, -819, 330, 2320
1322, -1219, 331, 2410
1319, -25, 328, 2240
1318, 381, 327, 2250
1323, -1619, 332, 2525
1324, -2019, 333, 2650
1325, -2419, 334, 2795
1326, -2819, 335, 2970
1327, -3219, 336, 3155
1328, -3619, 337, 3340
1329, -4019, 338, 3515
1331, -4819, 340, 3975
1330, -4419, 339, 3750
1333, -5620, 342, 4415
1334, -6019, 343, 4650
1335, -6420, 344, 4880
1339, -8020, 348, 5855
1338, -7620, 347, 5600
1337, -7220, 346, 5370
1336, -6820, 345, 5120
1332, -5219, 341, 4190
1340, -8419, 349, 6105
1341, -8820, 350, 6355
1342, -9219, 351, 6605
1343, -9620, 352, 6860
1344, -10020, 353, 7110
1345, -10420, 354, 7355
1346, -10820, 355, 7610
1347, -11219, 356, 7870
1348, -11619, 357, 8130
1349, -12019, 358, 8385
1350, -12419, 359, 8640
1351, -12819, 360, 8900
1352, -13220, 361, 9160
1353, -13620, 362, 9420
1354, -14019, 363, 9675
1355, -14420, 364, 9945
1306, 5181, 315, 4055
1307, 4781, 316, 3830
1308, 4381, 317, 3625
1309, 3981, 318, 3415
1310, 3581, 319, 3225
1311, 3181, 320, 3030
1312, 2781, 321, 2865
1313, 2381, 322, 2705
1314, 1981, 323, 2565
1315, 1581, 324, 2435
1316, 1181, 325, 2350
1317, 781, 326, 2285
1305, 5581, 314, 4265
1304, 5981, 313, 4490
1303, 6381, 312, 4725
1302, 6781, 311, 4960
1301, 7181, 310, 5205
1300, 7581, 309, 5445
1299, 7982, 308, 5690
1298, 8381, 307, 5935
1297, 8782, 306, 6185
1296, 9181, 305, 6430
1295, 9581, 304, 6675
1294, 9982, 303, 6920
1293, 10381, 302, 7170
1292, 10781, 301, 7445
1291, 11182, 300, 7700
1290, 11581, 299, 7945
1289, 11982, 298, 8200
1288, 12382, 297, 8465
1287, 12781, 296, 8715
1286, 13181, 295, 8980
1285, 13581, 294, 9250
1284, 13981, 293, 9510
1283, 14381, 292, 9765
1282, 14781, 291, 10040
1281, 15182, 290, 10290
1280, 15581, 289, 10560
1279, 15981, 288, 10820
1278, 16382, 287, 11080
1277, 16781, 286, 11340
1276, 17182, 285, 11600
