,CMP, FFID, OFFSET, CHANNEL, TIME
2293,88,5236,396,266,2805
2294,88,5237,694,267,2825
2295,88,5238,994,268,2840
2296,88,5239,1293,269,2875
2297,88,5240,1593,270,2935
2298,88,5241,1893,271,3005
2299,88,5242,2193,272,3065
2300,88,5243,2492,273,3170
2301,88,5244,2793,274,3250
2302,88,5245,3092,275,3355
2303,88,5246,3392,276,3465
2304,88,5247,3692,277,3590
2305,88,5248,3992,278,3715
2306,88,5249,4292,279,3850
2307,88,5250,4592,280,3990
2308,88,5251,4892,281,4140
2309,88,5252,5192,282,4270
2310,88,5253,5492,283,4425
2311,88,5254,5793,284,4590
2312,88,5255,6093,285,4740
2313,88,5256,6392,286,4930
2314,88,5257,6692,287,5085
2315,88,5258,6992,288,5240
2316,88,5259,7293,289,5400
2317,88,5260,7593,290,5565
2318,88,5261,7893,291,5725
2319,88,5262,8193,292,5910
2320,88,5263,8493,293,6075
2321,88,5264,8793,294,6270
2322,88,5265,9094,295,6460
2323,88,5266,9393,296,6640
2324,88,5267,9693,297,6830
2325,88,5268,9993,298,7010
2326,88,5269,10292,299,7195
2327,88,5270,10593,300,7365
2328,88,5271,10893,301,7540
2329,88,5272,11193,302,7725
2330,88,5273,11493,303,7900
2331,88,5274,11793,304,8095
2332,88,5275,12092,305,8265
2333,88,5276,12393,306,8460
2334,88,5235,107,265,2805
2335,88,5234,-214,264,2825
2336,88,5233,-509,263,2860
2337,88,5232,-809,262,2885
2338,88,5231,-1109,261,2935
2339,88,5230,-1408,260,3010
2340,88,5229,-1708,259,3085
2341,88,5228,-2008,258,3180
2342,88,5227,-2308,257,3270
2343,88,5226,-2608,256,3360
2344,88,5225,-2908,255,3485
2345,88,5224,-3208,254,3600
2346,88,5223,-3507,253,3740
2347,88,5222,-3807,252,3875
2348,88,5221,-4107,251,4015
2349,88,5220,-4407,250,4160
2350,88,5219,-4708,249,4325
2351,88,5218,-5007,248,4475
2352,88,5217,-5308,247,4635
2353,88,5216,-5607,246,4795
2354,88,5215,-5908,245,4960
2355,88,5214,-6207,244,5120
2356,88,5213,-6507,243,5285
2357,88,5212,-6807,242,5450
2358,88,5211,-7107,241,5630
2359,88,5210,-7407,240,5800
2360,88,5209,-7707,239,5980
2361,88,5208,-8007,238,6155
2362,88,5207,-8308,237,6320
2363,88,5206,-8607,236,6510
2364,88,5205,-8907,235,6685
2365,88,5204,-9208,234,6880
2366,88,5203,-9507,233,7050
2367,88,5202,-9806,232,7225
2368,88,5201,-10107,231,7410
2369,88,5200,-10407,230,7595
2370,88,5199,-10707,229,7790
2371,88,5198,-11007,228,7970
2372,88,5197,-11306,227,8170
2373,88,5196,-11607,226,8355
2374,88,5195,-11907,225,8545
2375,88,5194,-12206,224,8735
2376,88,5193,-12506,223,8930
